Part 10 of 10 — Process register · Magnus Workspace Platform · 8 September 2026

SECTION 1 — PROCESS STEPS
Part,Process,Step,Lane,Action,Record → state,Gate or block,What the live build does today
8,Operate and Maintain,2,"Gate 21, the turnover date, has no code — the field that sets retention and warranty is ungated",8.3,Register
8,Operate and Maintain,3,"Gate 34 is consumed by the visit sign-off, and the warranty claim it names has no record","8.12, 8.14",Register
8,Operate and Maintain,4,"The visit sign-off is approved by its own patch — no R6, no role check",8.12,RC-A
8,Operate and Maintain,5,The next visit date never advances — nothing ever falls due,8.13,New
8,Operate and Maintain,6,There is no client acceptance record,8.2,New
8,Operate and Maintain,7,"Warranty expiry blocks recording a visit, with no paid-maintenance path afterwards",8.7,New
8,Operate and Maintain,8,Reading types and units are free text,8.9,New
8,Operate and Maintain,9,A critical defect can be escalated with no approval,8.10,New
8,Operate and Maintain,10,A defect cannot become a purchase order or a stock issue,8.10,New
8,Operate and Maintain,11,The derived retention release date is read by nothing,"8.4, 8.5",Register
8,Operate and Maintain,12,Nobody is notified at any hand-off,all,RC-H
9,Govern,G-1,"Erasure is authorised — Reason string only; no gate, no role, irreversible",,Highest
9,Govern,G-2,"Gates 22, 24, 31, 32, 33 have approvers — All five empty",,Highest
9,Govern,G-3,A role takes effect when gate 24 is approved — Live on insert; refusal never revokes,,Highest
9,Govern,G-4,Role assignment works on the screen — Refuses — gate 24 has no primary,,High
9,Govern,G-5,"Constant changes carry a gate reference — Six changes, zero references",,High
9,Govern,G-6,One writer per table — Tool calls overwrite constant history; one key is already incoherent,,High
9,Govern,G-7,Gate config is approved — updateGateConfig takes no approval argument and can rewrite gate 31,,High
9,Govern,G-8,Console holders are added by console holders — Neither add nor remove checks the caller,,High
9,Govern,G-9,Gate 32 governs permissions — Comment admits no enforcement; permissions only paint the sidebar,,Medium
9,Govern,G-10,Gate 33 governs reclassification — No reclassification path exists,,Medium
9,Govern,G-11,"Legal hold is controlled — Free boolean, either direction, no reason",,Medium
9,Govern,G-12,Revisions become in force through publish — Tool call sets the status directly and can break the document,,Medium
9,Govern,G-13,Removing a role is governed — revokeRole needs nothing,,Medium
9,Govern,G-14,"A gate has one meaning — Gate 24 has two, gate 32 has three",,Medium
9,Govern,G-15,"There is a first console holder — One row says ""second"", the other says nothing",,Low
9,Govern,G-16,Document requirements can name any gate — requiredByGateId is a number; 25a and 25b cannot be expressed,,Low
9,Govern,G-17,"The export is the complete record — 98 of 116 tables, three of them phantom; every O&M table and payroll_lines missing",,High
9,Govern,G-18,"The export is tenant-scoped — 14 tables fall back to an unfiltered read — including audit_entries, encryption_keys, supplier_bank_accounts",,Highest on a second tenant

SECTION 3 — HAND-OFFS BETWEEN LANES
Part,Process,From → To,At step,What crosses,What stalls it
2,Win the Work,Client → Sales,2.4 → 2.5,Site access and load data,The client. The assessment cannot be recorded without a visit
2,Win the Work,Sales → Executive,2.9 → 2.10,A proposal awaiting review,Nobody is told the request exists (RC-H). The approver finds it only by opening the record
2,Win the Work,Executive → Sales,2.10 → 2.11,An approved proposal,Same
2,Win the Work,Sales → Client,2.11 → 2.12,The proposal,The client's own timeline. under_negotiation is the holding state
2,Win the Work,Sales → Executive,2.13 → 2.14,A won decision,Same as 2.9
2,Win the Work,Platform → Projects,2.15 → 2.16,A new project in setup,The Project Manager is not told a project exists (RC-H)
2,Win the Work,Projects → Client,2.16 → 2.17,The contract,The client's signature
2,Win the Work,Client → Projects,2.17 → 2.18,The signed agreement,The physical document reaching whoever attaches it
3,Design and Permit,Engineering → Executive,3.8 → 3.9,A design freeze awaiting approval,Nobody is told (RC-H)
3,Design and Permit,Platform → Procurement,3.11 → Part 4,The bill of materials,Nothing. Part 4's purchase order links to a bill of materials line and auto-fills from it — one of the better joins in the product
3,Design and Permit,Administration → Executive,3.16 → 3.17,A consultant engagement decision,"The gate does not exist, so in practice this step is skipped entirely"
3,Design and Permit,Administration → Authority,3.18 → 3.19,The permit application,The authority's own timeline. There is no expected-decision date on the record
3,Design and Permit,Authority → Administration,3.19 → 3.20,The decision,Someone remembering to check
3,Design and Permit,Both chains → Projects,"3.10, 3.22 → Part 5",An issued-for-construction package and an approved permit,Either one being late. Mobilisation needs both
4,Buy and Store,Engineering → Procurement,Part 3 → 4.2,The bill of materials line,"Nothing. The link auto-fills description, quantity and unit — one of the better joins in the product"
4,Buy and Store,Procurement → Executive,4.3 → 4.4,An order awaiting approval,Nobody is told (RC-H)
4,Buy and Store,Procurement → Supplier,4.5 → 4.6,The issued order,"There is no way to send it. No print, no export, no email — the order exists only on screen"
4,Buy and Store,Supplier → Warehouse,4.6 → 4.7,The delivery,
4,Buy and Store,Warehouse → Warehouse,4.7 → 4.13,Nothing — this is the break,Received material never becomes stock. Somebody has to notice the delivery and type it in as an adjustment or a count
4,Buy and Store,Warehouse → Site,4.15 → 4.16,Material in transit,The receiver has to be on the platform to close it. Sorsogon and Dumaguete work from phones
4,Buy and Store,Procurement → Finance,4.5 → Part 6,Committed cost,"Committed cost is computed from issued orders only, and never compared against the contract value"
5,Build Safely,Part 3 → Site,→ 5.3,The approved permit and the issued-for-construction package,Nothing checks either. HB4 has no code
5,Build Safely,Manpower → Site,5.3 → 5.4,Crews on site,
5,Build Safely,Site → Projects,5.9 → 5.10,The day's report,Nobody is told (RC-H). A report can sit submitted indefinitely
5,Build Safely,Site → Payroll,5.7 → 5.12,The attendance list,Nothing. This join works — and it is the reason the toolbox meeting matters
5,Build Safely,Site → Safety,5.16 → 5.17,An active safety stop,"Nobody is told, and work does not actually stop — nothing in the platform blocks on an active stop"
5,Build Safely,Safety → Executive,5.23 → 5.24,A report awaiting closure,Nobody is told
5,Build Safely,Site → Part 8,5.11 → handover,Block completion,"The stage cannot advance, so handover is unreachable"
6,Get Paid,Site → Billing,Part 5 → 6.2,Block percent complete,Nothing. This join works — the claim reads the latest cumulative percent per block and stores a weighted average. It is the strongest link in the product
6,Get Paid,Billing → Client,6.3 → 6.4,The submitted claim,"There is no way to send it. No invoice document, no export, no attachment"
6,Get Paid,Client → Billing,6.4 → 6.5,Certification,"Someone remembering to check. No expected date, no notification"
6,Get Paid,Billing → Treasury,6.5 → 6.8,A certified claim to draw against,The link is optional — progressClaimId on a fund request is not required
6,Get Paid,Procurement → Treasury,Part 4 → 6.18,The supplier's bill,There is nowhere for it to land. Committed cost is computed from issued orders; nothing records what is actually owed
6,Get Paid,Projects → Executive,6.14 → 6.15,A variation order,No screen raises it and no mutation approves it
6,Get Paid,Treasury → Executive,6.16 → 6.17,The forecast,Nothing. The gap detection works
7,People and Pay,Site → Payroll,Part 5 → 7.19,Toolbox attendance becomes days worked,Nothing. This is the join that makes L4 work — presence is never tracked and people are still paid correctly
7,People and Pay,Candidate → Human Resource,7.6 → 7.7,An accepted offer,Nothing carries across. The employee record is typed again by hand
7,People and Pay,Human Resource → Payroll,7.15 → 7.16,Draft rate tables,Nobody is told (RC-H)
7,People and Pay,Payroll → Executive,7.19 → 7.20,A period ready to approve,Nobody is told
7,People and Pay,Payroll → Staff,7.20 → 7.21,The payslip,"There is no payslip document — the worker acknowledges a row on a screen. No print, no export, no file"
7,People and Pay,Payroll → Finance,7.22 → Part 6,The disbursement,Payroll is the only outbound payment the platform has. It does not appear in the cash forecast
7,People and Pay,Human Resource → Part 9,7.16,Approved rate tables,The tables are configuration and are not in the configuration register
8,Operate and Maintain,Site → Projects,Part 5 → 8.1,Block completion,Nothing — it is computed
8,Operate and Maintain,Projects → Executive,8.2 → 8.3,A handed-over system,No acceptance record to carry
8,Operate and Maintain,Platform → Finance,8.4 → 8.5,The retention release date,Nothing reads it. The date is derived correctly and no record can bill against it
8,Operate and Maintain,Projects → Operations,8.3 → 8.6,A site to maintain,The warranty expiry now gates every visit
8,Operate and Maintain,Operations → Executive,8.11 → 8.12,A visit awaiting sign-off,Nobody is told (RC-H)
8,Operate and Maintain,Operations → Client,8.12 → —,The signed-off service report,There is no document to send
8,Operate and Maintain,Operations → Procurement,8.10 → Part 4,A defect needing parts,No link at all — a defect cannot become a purchase order or a stock issue
9,Govern,Console → Executive,9.2 → 9.4,The right to configure,Nothing checks it
9,Govern,Executive → every other part,9.4 → all,Who approves what,"Nothing. One call, no signature"
9,Govern,Executive → Finance and Sales,"9.6 → Parts 2, 4, 6","Markups, yields, rates",Already inconsistent — see section 5
9,Govern,Department Head → the gate engine,9.9 → all,A person's authority,The grant is live before the answer
9,Govern,Executive → the sidebar,9.13 → 9.14,What a role may see,Nothing else consumes it
9,Govern,Document Control → Site,9.16 → Part 5,A revision in force,"Correct, and ungated"
9,Govern,Platform → the auditor,9.19 → 9.21,The proof,"Erasure can quietly remove part of it, and the export omits 21 tables"
